"id","name","identifier","type","address","maps","date_joined","date_created","date_updated","razon_social"
"32","LA ENCANTADA","T385","FORANEA","PROLONGACION 5 SEÑORES ,101 ,A ,FRACC. LA ENCANTADA ,98089 ,ZACATECAS ,ZACATECAS","https://goo.gl/maps/qcxpnLzgFWz23AoR9","2023-09-13","2024-10-03 23:26:27.340727+00","2023-09-13 08:31:21.884539+00","ASTURIANO"
"33","SEGURO SOCIAL","T384","FORANEA","TORREON ,317 , ,CENTRO ,98000 ,ZACATECAS ,ZACATECAS","https://goo.gl/maps/d7piv8Tnn1GgPtrx9","2023-09-13","2024-10-03 23:26:05.921306+00","2023-09-13 08:31:21.960608+00","ASTURIANO"
"34","SIERRA DE ALICA","T383","FORANEA","MANUEL M PONCE ,314 , ,SIERRA DE ALICA ,98050 ,ZACATECAS ,ZACATECAS","https://goo.gl/maps/BdGS1KonQTyjp74k7","2023-09-13","2024-10-03 23:26:06.446171+00","2023-09-13 08:31:22.038545+00","ASTURIANO"
"35","VALLE DE BRAVO","T380","FORANEA","CARRT EL MANGUITO ,S/N ,LOCAL P B 2 ,SANTA MARIA AHUACATLAN ,51200 ,VALLE DE BRAVO ,ESTADO DE MÉXICO","https://goo.gl/maps/YeA1KbNqENy1jCRp9","2023-09-13","2024-10-03 23:26:24.018516+00","2023-09-13 08:31:22.11225+00","ASTURIANO"
"36","CORPORATIVO BLANCO","T374","FORANEA","PROL. TECNOLÓGICO , , ,SAN PABLO ,76159 ,QUERÉTARO ,QUERÉTARO","https://goo.gl/maps/D31MiKWY6d5T7vA96","2023-09-13","2024-10-03 23:26:06.3147+00","2023-09-13 08:31:22.18705+00","ASTURIANO"
"37","TEPATEPEC","T369","FORANEA","C. JUÁREZ ,51 , ,II DEMARCACIÓN ,42660 ,TEPATEPEC ,HIDALGO","https://goo.gl/maps/rXnaQVercWjmdSoX7","2023-09-13","2024-10-03 23:26:05.643895+00","2023-09-13 08:31:22.260882+00","ASTURIANO"
"38","PLAN DE AYALA","T368","FORANEA","AV. PLAN DE AYALA ,141 , ,EL VERGEL ,62410 ,CUERNAVACA ,MORELOS","https://goo.gl/maps/7ATCFu3tMoUtissSA","2023-09-13","2024-10-03 23:26:06.38016+00","2023-09-13 08:31:22.337176+00","ASTURIANO"
"39","LA FERIA","T367","FORANEA","BLVD. ANTONIO ROCHA CORDERO ,104 ,1 ,SAN JUAN DE GUADALUPE ,78426 ,SAN LUIS ,SAN LUIS POTOSÍ","https://goo.gl/maps/RBoVgERYTZP4HnLv9","2023-09-13","2024-10-03 23:26:29.830636+00","2023-09-13 08:31:22.40386+00","ASTURIANO"
"40","LA FINCA","T363","FORANEA","CARRETERA ESTATAL 130 ,30 , ,LA PURÍSIMA ,76650 ,EZEQUIEL MONTES ,QUERÉTARO","https://maps.app.goo.gl/uRc8dttPYHZDSMfY8","2023-09-13","2024-10-03 23:26:06.904101+00","2023-09-13 08:31:22.472902+00","ASTURIANO"
"41","CHILPANCINGO 2","T362","FORANEA","Zona Sin Asignación de Nombre de Col 33, 39016 Chilpancingo de los Bravo, Gro.","https://goo.gl/maps/cQEwozp4GEMLkSG66","2023-09-13","2024-10-03 23:26:07.167059+00","2023-09-13 08:31:22.546952+00","ASTURIANO"
