"id","econ_number","model","brand","color","circulation_card_number","insurance_company","insurance_code","serial_number","license_plate","year","insurance","circulation_card","sua","unit_type","permiso_sct","conf_vehicular","performance","status","fumigation_certified","verificacion_fisico_mecanica","verificacion_de_emisiones","initial_milage","current_milage","photo_1","photo_2","photo_3","photo_4","photo_5","photo_6","fumigation_expiration","insurance_expiration","system","observations","current_state","date_joined","date_created","date_updated","supplier_id","is_rent"
"29","ECO-09-004","2001","INTERNATIONAL","Sin color",NULL,"HDI","831920025","","25UG4M",2001,"","","","CAJA","","CTR021","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:22.060432+00","2023-07-19 08:40:28.723096+00",NULL,False
"30","ECO-12-001","2001","KENTWORTH","Sin color",NULL,"HDI","831920025","","85AB1D",2001,"","","","TRACTO","","T3S2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:22.213578+00","2023-07-19 08:40:29.114987+00",NULL,False
"31","ECO-12-002","2001","INTERNATIONAL","Sin color",NULL,"HDI","831920025","","762WJ1",2001,"","","","CAJA","","CTR021","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:22.366998+00","2023-07-19 08:40:29.505944+00",NULL,False
"32","EQ-004-013G","1992","MERCEDES BENZ","Sin color",NULL,"HDI","831920025","C1517BM0009871","214EY6",1992,"","","","RABON","2242CANA25102011021001009","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.836495+00","2023-07-19 08:40:29.899446+00",NULL,False
"33","Eco-11-002","2001","Kentworth","Sin color",NULL,"Consultoría especializada","730059835","","405AJ4",2011,"","","","TORTHON","","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:22.675811+00","2023-07-19 08:40:30.298148+00",NULL,False
"34","EQ-004-011G","2000","FREIGHTLINER","Sin color",NULL,"HDI","831920024","3AL6HFAA1YDG72916","55AK4J",2002,"","","","RABON","2242CANA25102011021001016","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.765754+00","2023-07-19 08:40:30.686435+00",NULL,False
"35","ECO-04-014","2001","INTERNATIONAL","Sin color",NULL,"HDI","83125092","","99AN8D",2001,"","","","TORTHON","","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:22.984382+00","2023-07-19 08:40:31.074938+00",NULL,False
"36","EQ-004-006E","2015","RAM","Sin color",NULL,"HDI","8219200025","3C7WRAKT1FG506098","526EH8",2015,"","","","UNIDAD 3.5 TN","2242CANA25102011021001007","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO",NULL,"Queretaro de Arteaga","2023-07-19","2024-11-06 15:35:55.14156+00","2023-07-19 08:40:31.465861+00",NULL,False
"37","ECO-04-016","2008","NP","Sin color",NULL,"HDI","8219300025","","7629ZP",2008,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:23.331755+00","2023-07-19 08:40:31.854919+00",NULL,False
"38","ECO-011-005","CAJA 3.5 SECA","FORD","Sin color",NULL,"HDI","831229800","1FDRF3G62LED25799","83AP7X",2020,"","","","UNIDAD 3.5 TN","","C2","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:23.48347+00","2023-07-19 08:40:32.247875+00",NULL,False
"39","ECO-011-004","2010","NISSAN","Sin color",NULL,"GNP","42538325898","","SS50701",2010,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:23.636676+00","2023-07-19 08:40:32.639854+00",NULL,False
"40","EQ-005-004H","2015","KENTWORTH","Sin color",NULL,"HDI","83920025","3BKHKM9X0FF302537","30AM2R",2015,"","","","TORTHON","2242GOME29062011021001006","C3","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-09-18 09:06:57.629354+00","2023-07-19 08:40:33.039943+00","7",False
"41","ECO-04-017","2010","Np","Sin color",NULL,"Hdi","8319200025","","7599ZP",2010,"","","","UNIDAD 1 TN","","VL","0","Activa","","","",NULL,NULL,"","","","","","",NULL,NULL,"QRO","","Queretaro de Arteaga","2023-07-19","2023-07-19 08:43:23.94348+00","2023-07-19 08:40:33.433911+00",NULL,False
