"id","BienesTransp","Cantidad","ClaveUnidad","Descripcion","Moneda","PesoEnKg","MaterialPeligroso","Destino_id","Operation_id"
"10928","15121512",1,"H87:Pieza","MONO-COAT 2100W","MXN","209",False,"78","1516"
"10929","12352400",1,"H87:Pieza","CHEM-TREND PU-11380","MXN","158",True,"78","1516"
"10930","15121512",1,"H87:Pieza","MONO-COAT 2109W","MXN","19",False,"78","1516"
"10931","15121512",24,"H87:Pieza","MONO-COAT 1956W","MXN","454",False,"128","1517"
"10932","15121512",10,"XBJ:Cubeta","MONO COAT 2022W","MXN","399",False,"128","1517"
"10933","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1521"
"10934","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1521"
"10935","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"406","1522"
"10936","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"313","1523"
"10937","11162126",1,"11:Equipos","TELA","MXN","12",True,"700",NULL
"10938","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"393","1525"
"10939","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"312","1526"
"10940","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"690","1530"
"10941","15121520",10,"H87:Pieza","CHEM-TREND PL101","MXN","1910",False,"18","1518"
"10942","15121528",1,"H87:Pieza","CHEM-TREND HF-28","MXN","1062",False,"18","1518"
"10943","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"498","1538"
"10944","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1541"
"10945","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"679","1540"
"10947","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"315","1543"
"10948","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"690","1388"
"10949","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1390"
"10950","25172301",2580,"X8A:Pallet de madera","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1545"
"10952","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1545"
"10953","15121512",1,"H87:Pieza","CHEM-TREND SL-98003","MXN","207",False,"216","1546"
"10954","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"392","1547"
"10955","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"625","1569"
"10957","50202201",4,"X8A:Pallet de madera","CERVEZA","MXN","3300",True,"691","1573"
"10958","50202201",2,"X8A:Pallet de madera","CERVEZA","MXN","1000",True,"701","1570"
"10959","50181900",30,"X8A:Pallet de madera","GALLETAS","MXN","18000",False,"362","1590"
"10960","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"699","1591"
"10961","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"322","1592"
"10962","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"637","1593"
"10964","15121517",4,"H87:Pieza","CHEM-TREND DC-456","MXN","75",False,"42","1588"
"10965","15121512",4,"H87:Pieza","CHEM-TREND SL-92060","MXN","832",False,"42","1588"
"10966","15121512",1,"H87:Pieza","MONO-COAT 2090W","MXN","19",False,"42","1588"
"10967","12352400",1,"H87:Pieza","CHEM-TREND ML-5001","MXN","165",True,"20","1589"
"10968","15121513",1,"H87:Pieza","CHEM-TREND PLP-150","MXN","10",False,"20","1589"
"10969","15121517",1,"H87:Pieza","CHEM-TREND DC-456","MXN","19",False,"20","1589"
"10970","15121517",4,"H87:Pieza","CHEM-TREND DC-456","MXN","75",False,"20","1589"
"10971","15121512",2,"H87:Pieza","ZYVAX 1070W","MXN","8",False,"20","1589"
"10972","47131820",2,"H87:Pieza","ZYVAX WATERCLEAN","MXN","8",False,"20","1589"
"10973","15121512",8,"H87:Pieza","ZYVAX SEALBRITETM","MXN","32",False,"20","1589"
"10974","15121512",1,"H87:Pieza","CHEM-TREND ML-5401W","MXN","19",False,"88","1587"
"10975","13101723",5,"H87:Pieza","ULTRA PURGETM 8416","MXN","100",False,"88","1587"
"10976","15121520",13,"H87:Pieza","CHEM-TREND PL-888","MXN","221",False,"88","1587"
"10977","12352400",36,"X4G:Caja de cartón","SURFACE ENHANCER 360","MXN","36",True,"88","1587"
"10978","13101723",1,"H87:Pieza","ULTRA PURGETM 1516","MXN","20",False,"88","1587"
"10979","13101723",1,"H87:Pieza","ULTRA PURGETM 5000","MXN","20",False,"88","1587"
"10980","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"402","1595"
"10981","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"401","1596"
"10982","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"624","1608"
"10983","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"405","1607"
"10984","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1609"
"10985","25172303",825,"X4C:Caja de  madera natu","VENTANAS PARA AUTOMOTORES","MXN","12300",False,"197","1609"
"10986","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"679","1614"
"10987","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"690","1618"
"10988","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"629","1619"
"10989","15121512",9,"H87:Pieza","CHEM-TREND PM-2877W","MXN","170",False,"120","1612"
"10990","15121512",1,"H87:Pieza","MONO-COAT 2107W","MXN","19",False,"120","1612"
"10991","15121512",2,"H87:Pieza","MONO-COAT 2107W","MXN","38",False,"120","1612"
"10992","12352400",420,"H87:Pieza","MONO-COAT E-7A AEROSOL","MXN","420",True,"120","1612"
"10993","15121520",2,"H87:Pieza","CHEM-TREND PL-101","MXN","382",False,"106","1610"
"10994","47131820",1,"H87:Pieza","CHEM-TREND MOC-10001","MXN","160",False,"106","1610"
"10995","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"326","1542"
"10996","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"638","1544"
"10997","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"400","1620"
"10998","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"314","1621"
"10999","47131800",10,"X8A:Pallet de madera","ABARROTES","MXN","10000",False,"655","1553"
"11000","15121528",1,"H87:Pieza","CHEM-TREND HF-28","MXN","1062",False,"18","1613"
"11001","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"400","1622"
"11002","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"312","1623"
"11003","47131800",14,"X8A:Pallet de madera","ABARROTES","MXN","14000",False,"316","1624"
"11004","15121512",11,"H87:Pieza","CHEM-TREND ML-1152","MXN","168",False,"68","1626"
"11005","15121512",4,"H87:Pieza","MONO-COAT 1004W","MXN","76",False,"68","1626"
"11006","15121512",2,"H87:Pieza","MONO-COAT 1004W","MXN","38",False,"68","1626"
"11007","12352400",24,"X4G:Caja de cartón","LUSIN PROTECT G 31","MXN","24",True,"68","1626"
"11008","15121513",1,"H87:Pieza","CHEM-TREND PLP-150","MXN","122",False,"138","1627"
"11009","15121513",4,"H87:Pieza","CHEM-TREND PLP-150","MXN","488",False,"138","1627"
"11010","15121512",1,"H87:Pieza","CHEM-TREND SL-90099","MXN","208",False,"138","1627"
"11011","15121512",1,"H87:Pieza","CHEM-TREND SL-90099","MXN","208",False,"138","1627"
"11012","13101723",1,"H87:Pieza","ULTRA PURGETM 1220","MXN","20",False,"138","1627"
"11013","25172301",2580,"X4C:Caja de  madera natu","PARABRISAS PARA AUTOMOTORES","MXN","11700",False,"197","1625"
